,Date.time,Mean,Upper,Lower,Squared Error,Absolute Error,Turbine
0,2021-01-20 16:30:00,2035.2271098235708,2152.3081707860283,1930.8204600013755,496.085986994781,22.272987832681565,3
1,2021-01-20 17:10:00,2038.2399035569535,2159.364958969425,1926.179885653701,6687.2532422087825,81.77562743390467,3
2,2021-01-20 20:00:00,2038.767329602705,2162.6348185457173,1908.5711625025945,84.21016386609038,9.17660960628109,3
3,2021-01-20 22:10:00,2038.4343230879804,2173.4803557951204,1926.6517762413823,84.58728056971297,9.197134367275112,3
4,2021-01-22 03:30:00,1855.0509020607255,1964.5365018925377,1737.7479633046428,11997.759526242176,109.53428470685412,3
5,2021-01-22 07:20:00,1521.5108111499212,1645.980230012793,1414.471355865362,593.1931561314765,24.355556986681226,3
6,2021-01-22 08:40:00,656.1002102762743,761.4005471369863,536.8144111638159,4197.021334811026,64.78442200723123,3
7,2021-01-22 11:20:00,180.93216067211333,277.7133589758849,70.46715465640014,34.8871632055236,5.90653563483059,3
8,2021-01-23 04:30:00,332.88696599919643,453.0035171306381,212.1495004070348,5204.113254050605,72.13954015691121,3
9,2021-01-23 08:50:00,215.9379318956056,320.5074520926315,109.34106357735948,1129.393863644528,33.60645568405761,3
10,2021-01-23 11:30:00,342.9043244265747,453.03348473495026,241.53559594184696,432.6683709211597,20.800681982116828,3
11,2021-01-23 13:40:00,510.1559766206225,625.6453432344726,400.04935862017624,11324.747752157751,106.41779809861578,3
12,2021-01-23 17:30:00,505.6289926412267,617.7665081349278,399.3177752892208,519.413449122162,22.79064389441777,3
13,2021-01-23 17:50:00,416.7929559250631,516.533413339437,328.56110968285753,3910.831190699557,62.53663878639111,3
14,2021-01-24 02:10:00,242.100476185091,374.80938332004143,138.01879361810043,2886.114601532281,53.722570689909105,3
15,2021-01-24 06:50:00,110.5338028046456,224.36469230226564,4.379296671205407,155.74499923036748,12.479783621135724,3
16,2021-01-24 11:40:00,332.46053276090095,436.7525934420121,220.79618607272283,1581.9798287906035,39.77411003140867,3
17,2021-01-24 12:20:00,378.39085483555664,495.3393887993428,283.65364954370744,344.4663939358926,18.559805870102537,3
18,2021-01-24 15:30:00,68.43132573892224,161.18298158194673,-40.09508101192338,7.0076507263434005,2.6471967675908417,3
19,2021-01-25 21:30:00,1760.243999851007,1865.0864231593025,1644.6478807034102,39124.65664987959,197.79953652594736,3
20,2021-01-25 23:00:00,2002.785904506714,2113.6031935668543,1900.487026945776,2974.940721210008,54.543017162694696,3
21,2021-01-26 08:10:00,171.04300984632576,274.3570885491351,49.55938423723085,485.52440253733573,22.034618275280735,3
22,2021-01-26 16:50:00,1482.698742304583,1591.5244341460166,1367.2144801081076,12743.155045059644,112.885583867293,3
23,2021-01-26 18:20:00,1429.734044924494,1525.7706180761222,1311.8490104140533,4198.434957785723,64.79533129621086,3
24,2021-01-26 18:30:00,1777.911565621086,1900.4242706791704,1664.896454240671,8396.342003082147,91.63155571680612,3
25,2021-01-27 06:50:00,369.9287421513041,469.0934009414048,280.755871086507,2317.4776178229536,48.140187139467514,3
26,2021-01-27 09:50:00,451.5635177330689,563.4077268318066,337.40815262902464,592.8368219448433,24.348240633459397,3
27,2021-01-28 02:10:00,108.9133573827793,240.8879350443893,4.260420253320163,46.36785844103446,6.809394865994662,3
28,2021-01-28 04:40:00,33.368745642368964,146.30909062991446,-65.23281586794049,199.66215785457752,14.130186051661797,3
29,2021-01-28 07:40:00,900.6922916692562,999.3026422905384,784.5699328551921,2538.694456825116,50.385458783513286,3
30,2021-01-28 16:00:00,182.549711353612,277.388206124552,84.97224960693659,3.043396827759288,1.7445334126233547,3
31,2021-01-28 18:00:00,253.4812745704057,363.88461003586104,110.01765376276516,37.82315881675761,6.150053562104773,3
32,2021-01-28 23:50:00,912.0061061243882,1041.177146583364,796.1881137046815,1544.8598640301116,39.304705367552515,3
33,2021-01-29 02:40:00,1873.151745890072,1985.070272307964,1771.4915622566782,6044.632522594824,77.7472348228207,3
34,2021-01-29 13:30:00,1619.9247508937551,1722.0140638417583,1510.2428925372778,2986.2481362615367,54.64657478983963,3
35,2021-01-29 14:30:00,541.6291184181451,678.6141359973286,430.9285059878622,1836.5306429690704,42.85476219708926,3
36,2021-01-29 18:10:00,70.71473064220973,192.71399031629076,-42.18501409314305,0.7216944617975524,0.8495260218483907,3
37,2021-01-29 19:40:00,295.76794782006266,426.5861147485584,208.24904401139025,847.5634849632964,29.112943598394452,3
38,2021-01-29 20:00:00,241.81705277194095,342.8001810745196,143.21275464593873,0.5143191610950818,0.7171604848951745,3
39,2021-01-29 23:00:00,264.5388468938196,399.9012066147234,151.88390742838817,597.4289736131506,24.442360230001327,3
40,2021-01-30 08:10:00,1509.9950344228942,1604.277048743807,1403.0642420794834,3965.4754435886657,62.97202111722845,3
41,2021-01-30 16:00:00,1892.0034685884773,2008.0186209741369,1785.423679316507,204.77817759925793,14.31007259238254,3
42,2021-01-30 19:00:00,1671.122533688411,1776.704357430535,1557.8089669729914,39751.49576327045,199.37777148737132,3
43,2021-01-31 03:40:00,561.7009278716667,689.6115360398064,458.986649185846,2494.4113771973603,49.94408250431036,3
44,2021-01-31 06:20:00,635.616554913112,736.4462550152986,528.1577801679687,2585.409751563989,50.84692470114578,3
45,2021-01-31 08:40:00,545.0189322886474,632.1988780388102,434.1513676241474,1935.902722028064,43.99889455461425,3
46,2021-02-02 17:20:00,1386.095051685243,1489.405000057722,1276.537888177831,40110.57981471629,200.27625873956276,3
47,2021-02-02 20:50:00,460.34168498311783,593.235972741511,340.3967285546772,720.5343489705782,26.842770888464145,3
48,2021-02-02 23:50:00,698.6480427705501,798.0167230717157,597.9348611865291,6141.345360356056,78.36673631303051,3
49,2021-02-03 08:10:00,178.40551446066587,297.16217972700184,65.63053345506313,646.7783728248588,25.4318377791472,3
50,2021-02-03 14:20:00,460.6818495378717,570.5731894528795,346.6951188330112,737.8074646787186,27.162611521698693,3
51,2021-02-03 16:40:00,166.826976240155,259.53346440041634,50.6834815077708,2.4876108930052125,1.5772161846130075,3
52,2021-02-03 21:40:00,531.151945609435,637.1578046177813,421.067506328813,5604.599769643063,74.86387493072385,3
53,2021-02-03 22:10:00,526.4324224967639,629.1675360628554,413.0249101823961,6802.541280250536,82.47751984783815,3
54,2021-02-04 02:00:00,1048.8657663397505,1165.289357247355,926.640881747081,20126.32254022957,141.8672708563521,3
55,2021-02-04 07:20:00,254.9394365285291,373.0863036406082,143.95146458958692,201.9889376063758,14.2122812245739,3
56,2021-02-04 15:30:00,228.93263112026975,347.00308405658143,122.48178528100811,642.7581997546013,25.352676382476886,3
57,2021-02-04 18:00:00,273.70395445755383,405.0124404972754,161.2698355768136,72.90239570464814,8.53828997543701,3
58,2021-02-04 19:30:00,225.3081736118476,332.6198510614834,116.88867286600254,2996.7421902925876,54.7425080745538,3
59,2021-02-05 00:40:00,188.9221969627197,294.95331482427673,81.38808266011793,548.4962339335716,23.41999645460203,3
60,2021-02-05 03:50:00,40.27433922530496,159.4350313781102,-69.70455936009576,155.41546073145287,12.466573736654864,3
61,2021-02-05 06:50:00,197.88329545588635,317.69851640832064,101.8675748653428,650.2634718510117,25.500264152573237,3
62,2021-03-05 19:40:00,54.18438899221064,145.50841608694847,-60.42892962772552,111.7052618836819,10.569071003814948,3
63,2021-03-05 21:30:00,179.75850863236937,290.3528391263443,66.24449784794515,0.0479407467040401,0.2189537547155566,3
64,2021-03-05 22:20:00,59.314490552650206,179.45799749678224,-82.96150291227278,25.05159705128342,5.005157045616393,3
65,2021-03-05 23:50:00,159.22528416254903,281.21773806731085,32.16538675517859,276.43173602334303,16.62623637578099,3
66,2021-03-07 04:30:00,-7.394355446624198,100.82916464475234,-112.28397212452732,17.78614937033364,4.217362845467964,3
67,2021-03-07 18:40:00,194.63530729877667,309.62210319664297,80.19839906070607,103.18780394828788,10.158139787790276,3
68,2021-03-07 19:20:00,344.16777471898644,454.79547819269584,221.63290573525575,1294.9464747352845,35.98536472977986,3
69,2021-03-07 21:50:00,531.6756082644721,651.2858619378093,399.0993320736975,655.5400617573727,25.60351658966738,3
70,2021-03-07 22:50:00,322.2167516321806,413.62685243713673,210.79563007689353,710.0142185915778,26.64609199472932,3
71,2021-03-08 20:40:00,876.7487308721688,980.7677395927768,748.8212889325658,19.463931950182563,4.411794640526978,3
72,2021-03-09 03:30:00,486.450723376011,594.8061852850346,375.9910417576066,6240.644863864236,78.99775227096171,3
73,2021-03-09 06:10:00,1145.86472251525,1263.467069789178,1046.381138459249,27859.537416235693,166.91176536192916,3
74,2021-03-09 14:00:00,294.26408556895313,389.3777410168845,188.92979830980153,1083.7328479343903,32.92009793324422,3
75,2021-03-10 02:40:00,1587.6134643611683,1705.7599822857044,1476.5992746370011,2660.802916345623,51.5829711857084,3
76,2021-03-10 06:50:00,2051.6468272112083,2177.292909127316,1958.0380286976197,176.9910259533832,13.303797426050323,3
77,2021-03-10 10:40:00,2036.3471307727384,2150.4695525484008,1924.624655375164,92.04588368431958,9.59405460086191,3
78,2021-03-10 13:30:00,2045.3806055141613,2162.3154791363872,1918.6335622809615,282.2286372604826,16.799661819824905,3
79,2021-03-10 13:40:00,2043.584460565314,2160.070481631686,1921.5015123541823,75.16850204018844,8.6699770495768,3
