index,Wind.speed.me,Wind.dir.sin.me,Wind.dir.cos.me,Nacelle.ambient.temp.me,turbine
80,2.9236559867858887,0.575560980304192,0.8177588629610061,16.75,1
161,3.1522581577301025,0.9678450084634129,0.25154729096624384,13.670000076293944,1
173,3.685706377029419,0.823302507906324,0.5676028369160582,12.97249984741211,1
403,6.423376560211182,0.20979391250620782,-0.9777456286147934,16.40999984741211,1
455,4.208030223846436,-0.3063910629102819,-0.9519057288243976,15.40999984741211,1
557,6.1475443840026855,-0.15741236093450137,-0.9875329607790447,14.3725004196167,1
762,5.808228492736816,-0.4937437305938626,-0.8696074565568394,10.922499656677246,1
776,5.115053176879883,-0.7078857827943121,-0.7063269204254388,13.627500534057615,1
832,6.869390964508057,-0.077371581148571,-0.9970023261911529,14.600000381469728,1
904,5.889284610748291,0.05676936307861909,-0.9983873193383658,14.449999809265137,1
1021,9.774913787841797,-0.8102040786347973,-0.5861478917163647,14.570000648498535,1
1049,7.70147180557251,-0.8986131313610354,-0.4387418832816335,13.199999809265137,1
1092,12.606940269470217,-0.9950502572882233,-0.09937296146659132,15.015000343322754,1
1101,7.759975910186768,-0.9999558012987666,0.009401885392925425,14.300000190734863,1
1141,7.546468734741211,-0.9788226423140037,-0.204710124061884,11.0,1
1159,7.736791610717773,-0.9952035550336071,0.09782578416997233,9.994999885559082,1
1169,7.998583316802978,-0.9442748346841927,0.32915807233324923,9.93333339691162,1
1189,6.999754428863525,-0.9979590627884665,-0.0638569416615418,9.984999656677246,1
1204,7.574865341186523,-0.9891252593053017,0.1470755635862727,11.855000495910645,1
1297,7.942129135131836,-0.9487593018392906,-0.3159996632489058,10.19499969482422,1
1359,9.573373794555664,-0.892674153200258,-0.4507026250291897,12.640000343322754,1
1382,8.03071117401123,-0.8804977811272788,-0.4740502688849977,14.342499732971191,1
1442,13.928715705871582,-0.8842876488401955,-0.4669425597529947,13.317500114440918,1
1465,12.67867374420166,-0.9541065505078734,-0.29946734425971516,15.399999618530272,1
1493,7.114635467529297,-0.8441275737713021,0.5361423684050486,12.322500228881836,1
1585,8.422359466552734,-0.9075915986620071,0.4198541294761101,9.994999885559082,1
1635,3.990724563598633,-0.36440701166240547,0.9312397810721337,11.460000038146973,1
1713,7.333959579467773,-0.848469371261417,-0.5292444860659918,11.579999923706056,1
1722,7.283073425292969,-0.7845774032480912,-0.6200308849666136,11.434999465942385,1
1885,5.698212146759033,-0.9678337529906289,0.251590593170878,11.732500076293944,1
1890,6.075904846191406,-0.9477384715693902,0.31904825576598306,11.772500038146973,1
1907,4.5361504554748535,-0.7743073762429283,0.6328096768348223,11.71500015258789,1
1942,4.962615489959717,-0.8832871871857945,0.46883232072181985,15.537500381469728,1
1943,4.456047058105469,-0.816663073022649,0.5771147417638918,16.122501373291016,1
1962,5.312288761138916,-0.9323755274982158,0.36149118346430503,15.907500267028809,1
2037,5.747081756591797,-0.8881486829551276,-0.4595562174153149,13.494999885559082,1
2040,4.634291172027588,-0.8112668808181845,-0.5846760197643935,13.19499969482422,1
2067,4.671424388885498,-0.91610405051181,-0.4009406048729103,13.292499542236328,1
2263,8.747136116027832,-0.7476684006679556,-0.6640722570945283,15.81999969482422,1
2437,9.53722858428955,-0.9193948203895179,-0.3933359432354562,12.21500015258789,1
2600,8.752147674560547,-0.39321351492308004,-0.9194471880874054,11.807499885559082,1
2613,9.415349960327148,-0.5390611628189237,-0.8422666221217067,14.037500381469728,1
2757,8.359373092651367,-0.5822815543199634,-0.8129872025430213,16.364999771118164,1
2835,5.844169616699219,-0.4317906497086686,-0.9019738548451202,18.51749992370605,1
2877,8.51941204071045,0.10714409321277285,-0.9942435030160431,14.327500343322754,1
2888,5.63900899887085,-0.18491992045624517,-0.9827535922185459,13.414999961853027,1
2913,8.312195777893066,-0.18970331617011646,-0.9818414596227136,13.902499198913574,1
2938,6.596240520477295,-0.5077726287012039,-0.8614911244707454,15.489999771118164,1
3151,12.996871948242188,-0.6136544825912027,-0.7895746804424033,13.58750057220459,1
3327,2.388457059860229,0.5402773089608697,0.8414870346131311,10.44499969482422,1
3353,3.764694929122925,0.9875912475755467,-0.15704625978410072,9.90999984741211,1
3535,6.24880838394165,0.6212829317602104,-0.7835863186040436,15.545000076293944,1
3544,7.30967378616333,0.3175478553402867,-0.9482422473022305,16.399999618530273,1
3618,6.0385284423828125,-0.027597497193587145,-0.9996191165382192,11.800000190734863,1
3769,9.381590843200684,-0.28615956503431283,-0.9581819781958816,13.58750057220459,1
3780,11.239579200744627,-0.2655321365682857,-0.9641020093586992,12.592500686645508,1
3786,12.493627548217772,-0.20764415317702045,-0.9782044293762925,12.829999923706056,1
3815,12.144298553466797,-0.4716698678345165,-0.8817752183958051,14.05500030517578,1
3885,13.352684020996094,-0.9597964565146697,-0.28069692207411856,11.44499969482422,1
4279,7.725523471832275,-0.6435027922141758,-0.7654437643697669,17.399999618530273,1
4294,11.1353178024292,-0.6679004636014556,-0.7442506101582723,16.375,1
4375,5.861471652984619,-0.9972713803972808,0.07382271899965494,15.125,1
4455,4.351497650146484,-0.9445325282928804,-0.3284178786190835,11.963157653808594,1
4524,0.9446072578430176,-0.8905701300220461,0.45484595580538684,13.567500114440918,1
4669,3.110589504241944,-0.002729204096998377,0.9999962757155633,12.522500038146973,1
4691,4.906986713409424,-0.9266459737414428,0.3759351531165626,13.890000343322754,1
4794,10.348295211791992,-0.9960520803601786,-0.08877079029816312,8.119999885559082,1
5069,6.042641639709473,0.10690024134235487,0.9942697513255375,5.217499732971191,1
5109,0.96936696767807,-0.8701111431421492,0.4928555554925421,10.4975004196167,1
5259,5.925050735473633,-0.7017212259557695,-0.7124516271601404,13.02750015258789,1
5309,5.687090396881104,-0.8634420099591753,-0.5044481097572469,11.0625,1
5428,6.080248832702637,-0.6655539667779599,-0.7463497285496407,13.505000114440918,1
5509,5.725461959838867,-0.7453987430490913,0.6666188670153544,9.4350004196167,1
5523,4.2437520027160645,-0.7330072578230779,0.6802208170724356,10.012499809265137,1
5729,5.7826762199401855,-0.6097037427227328,-0.7926293876143451,10.302499771118164,1
5818,4.306870460510254,-0.6248149916268375,0.7807728390757167,10.800000190734863,1
5822,5.451367378234863,-0.7357829176748434,0.6772174673307642,10.75749969482422,1
5976,8.2986478805542,-0.7906683776378743,0.6122446542057283,8.02750015258789,1
6031,2.7367074489593506,-0.5411630508095091,0.840917684698416,6.904999732971191,1
6220,7.495797157287598,-0.08048704938323839,-0.9967556545520974,9.265000343322754,1
6223,7.396505832672119,0.013539097312268458,-0.9999083422214102,9.136841773986816,1
6399,5.455842018127441,-0.37163418029847445,0.9283792522637938,7.302499771118164,1
6452,6.509441375732422,-0.924378737633867,0.3814760142006552,7.820000171661377,1
6474,6.972134590148926,-0.9059755974648452,-0.4233299148397344,6.25,1
6557,4.15010404586792,-0.9960366513530402,0.088943741552861,13.197500228881836,1
6566,5.410788536071777,-0.7331000017343888,0.6801208623892073,12.494999885559082,1
6579,6.602344989776611,-0.8259044674439737,0.5638100838545601,10.575000762939451,1
6660,8.533133506774902,-0.9932082933963998,-0.11634984283878973,10.27750015258789,1
6856,5.028833389282227,-0.8258849472269971,0.563838677233001,8.994999885559082,1
8244,10.334433555603027,-0.8709237399858696,-0.491418191695246,12.770000457763672,1
8261,8.111725807189941,-0.8698787244702957,-0.493265653288298,12.199999809265137,1
8301,8.874046325683594,-0.6012533741714841,-0.7990584334373835,12.100000381469728,1
8365,10.633987426757812,-0.5934389501581828,-0.8048790048418171,13.457894325256348,1
8414,13.436984062194824,-0.4123535630213482,-0.9110238959893417,14.389999389648438,1
8565,10.344781875610352,-0.6033129977476909,-0.797504499516269,8.907499313354492,1
8647,5.613389492034912,-0.9896581114663902,-0.1434462352548094,6.800000190734863,1
8686,5.561856746673584,-0.9952883179487094,0.09695960063257664,6.264999866485596,1
8934,10.170270919799805,-0.9999850272039615,0.00547223609617268,2.5799999237060547,1
9093,12.192456245422363,-0.7121418981938176,-0.702035552402374,9.237500190734863,1
9152,9.84913158416748,-0.992717820094255,0.1204629804849204,8.167499542236328,1
9288,3.9544074535369873,-0.7045493951419232,0.7096549512299271,6.235000133514404,1
9303,3.1640725135803223,-0.5445554988591754,0.8387248110448591,7.384999752044678,1
9312,6.338615894317627,-0.8224458078827863,0.5688434697665351,4.630000114440918,1
9478,4.57271146774292,-0.40661937304298906,0.9135976606067501,3.684999942779541,1
9578,8.779753684997559,-0.35523223545673094,0.934778080023496,4.267499923706055,1
9604,7.281667232513428,-0.3166009540610971,0.9485588204679787,2.494999885559082,1
9777,4.181061267852783,-0.39193249730786667,0.9199939769118161,3.794999837875366,1
9788,3.734075546264648,-0.6012078335386275,0.7990926985599293,3.615789413452149,1
9834,5.066418647766113,-0.9993168841553977,-0.03695625849497637,3.414999961853028,1
9883,4.321279048919678,-0.9371607335303671,-0.348897921359277,6.079999923706055,1
9908,5.41986894607544,-0.8615840117085418,0.5076150025050632,7.097499847412109,1
10075,7.295628070831299,-0.8214143130043652,0.5703319440392296,6.417500019073486,1
10079,8.012520790100098,-0.8834536914784566,0.4685184895103799,6.320000171661377,1
10086,8.528590202331543,-0.8634545035615209,0.5044267243904982,6.315000057220459,1
10235,6.289154052734375,-0.9995696742327631,-0.02933370679283334,7.792500019073486,1
10449,10.844999313354492,-0.5029803107752271,-0.8642978693554995,10.119999885559082,1
10504,11.993247985839844,-0.4090799047108451,-0.9124985652381958,9.699999809265137,1
10515,12.117809295654297,-0.4526184297458743,-0.891704299111751,9.78499984741211,1
