,index,Date.time,Power.me,Mean,Upper,Lower,Squared Error,Absolute Error,Turbine
0,560127,2021-01-20 16:30:00,2057.5000976562524,2035.2271098235708,2152.3081707860283,1930.8204600013755,496.085986994781,22.272987832681565,3
1,560131,2021-01-20 17:10:00,1956.4642761230489,2038.2399035569535,2159.364958969425,1926.179885653701,6687.2532422087825,81.77562743390467,3
2,560148,2021-01-20 20:00:00,2047.9439392089864,2038.767329602705,2162.6348185457173,1908.5711625025945,84.21016386609038,9.17660960628109,3
3,560161,2021-01-20 22:10:00,2029.2371887207053,2038.4343230879804,2173.4803557951204,1926.6517762413823,84.58728056971297,9.197134367275112,3
4,560337,2021-01-22 03:30:00,1964.58518676758,1855.0509020607255,1964.5365018925377,1737.7479633046428,11997.759526242176,109.53428470685412,3
5,560360,2021-01-22 07:20:00,1497.15525416324,1521.5108111499212,1645.980230012793,1414.471355865362,593.1931561314765,24.355556986681226,3
6,560368,2021-01-22 08:40:00,591.3157882690431,656.1002102762743,761.4005471369863,536.8144111638159,4197.021334811026,64.78442200723123,3
7,560384,2021-01-22 11:20:00,186.83869630694392,180.93216067211333,277.7133589758849,70.46715465640014,34.8871632055236,5.90653563483059,3
8,560487,2021-01-23 04:30:00,260.7474258422852,332.88696599919643,453.0035171306381,212.1495004070348,5204.113254050605,72.13954015691121,3
9,560513,2021-01-23 08:50:00,182.331476211548,215.9379318956056,320.5074520926315,109.34106357735948,1129.393863644528,33.60645568405761,3
10,560529,2021-01-23 11:30:00,363.70500640869153,342.9043244265747,453.03348473495026,241.53559594184696,432.6683709211597,20.800681982116828,3
11,560542,2021-01-23 13:40:00,616.5737747192383,510.1559766206225,625.6453432344726,400.04935862017624,11324.747752157751,106.41779809861578,3
12,560565,2021-01-23 17:30:00,528.4196365356445,505.6289926412267,617.7665081349278,399.3177752892208,519.413449122162,22.79064389441777,3
13,560567,2021-01-23 17:50:00,354.256317138672,416.7929559250631,516.533413339437,328.56110968285753,3910.831190699557,62.53663878639111,3
14,560617,2021-01-24 02:10:00,295.8230468750001,242.100476185091,374.80938332004143,138.01879361810043,2886.114601532281,53.722570689909105,3
15,560645,2021-01-24 06:50:00,123.01358642578133,110.5338028046456,224.36469230226564,4.379296671205407,155.74499923036748,12.479783621135724,3
16,560674,2021-01-24 11:40:00,292.6864227294923,332.46053276090095,436.7525934420121,220.79618607272283,1581.9798287906035,39.77411003140867,3
17,560678,2021-01-24 12:20:00,359.8310489654541,378.39085483555664,495.3393887993428,283.65364954370744,344.4663939358926,18.559805870102537,3
18,560697,2021-01-24 15:30:00,71.07852250651308,68.43132573892224,161.18298158194673,-40.09508101192338,7.0076507263434005,2.6471967675908417,3
19,560877,2021-01-25 21:30:00,1958.0435363769543,1760.243999851007,1865.0864231593025,1644.6478807034102,39124.65664987959,197.79953652594736,3
20,560886,2021-01-25 23:00:00,2057.328921669409,2002.785904506714,2113.6031935668543,1900.487026945776,2974.940721210008,54.543017162694696,3
21,560941,2021-01-26 08:10:00,149.00839157104502,171.04300984632576,274.3570885491351,49.55938423723085,485.52440253733573,22.034618275280735,3
22,560993,2021-01-26 16:50:00,1595.584326171876,1482.698742304583,1591.5244341460166,1367.2144801081076,12743.155045059644,112.885583867293,3
23,561002,2021-01-26 18:20:00,1494.529376220705,1429.734044924494,1525.7706180761222,1311.8490104140533,4198.434957785723,64.79533129621086,3
24,561003,2021-01-26 18:30:00,1869.543121337892,1777.911565621086,1900.4242706791704,1664.896454240671,8396.342003082147,91.63155571680612,3
