,Date.time,Power.me,Means,Lowers,Uppers,Squared Error,Absolute Error
0,2021-01-20 16:30:00,12153.521099853526,11937.795624274791,11440.355984702368,12429.805731388557,46537.48081367192,215.72547557873625
1,2021-01-20 17:10:00,11661.89072875978,11964.039444732349,11271.154413087042,12487.476589122316,91293.84656387016,302.1487159725657
2,2021-01-20 20:00:00,12193.209042197792,12116.727115231528,11492.312526632788,12655.236747385226,5849.485152472929,76.48192696626393
3,2021-01-20 22:10:00,12220.593247263067,12012.940824289495,11447.102629089066,12531.45397663209,43119.528766795025,207.65242297357145
4,2021-01-22 03:30:00,10289.932705688485,10066.745930364435,9568.650185811735,10541.334335443084,49812.33667954773,223.18677532404945
5,2021-01-22 07:20:00,8865.947179212071,9116.910634780068,8662.876653142102,9686.33975641339,62982.65603063081,250.9634555679986
6,2021-01-22 08:40:00,7020.645741271976,6430.200716857858,5855.5996272730545,7009.547068055714,348625.32685538847,590.445024414118
7,2021-01-22 11:20:00,2398.504287536835,2013.990729398308,1514.0512647652772,2502.6405520901567,147850.67639235043,384.51355813852706
8,2021-01-23 04:30:00,2040.8276977539067,2160.3082433361883,1611.5558471165157,2627.237515169549,14275.60077263967,119.4805455822816
9,2021-01-23 08:50:00,1084.2056072711948,1084.3731634814126,580.046850317691,1716.7692268257397,0.028075083582536,0.1675562102177537
10,2021-01-23 11:30:00,1818.913187599183,1603.8300418732874,1129.5694190924198,2109.4983155888335,46260.75957534671,215.0831457258953
11,2021-01-23 13:40:00,2926.769848442078,2531.7723737167607,2043.4716538671585,3059.97727595826,156023.005039378,394.9974747253177
12,2021-01-23 17:30:00,2255.2523938128825,1741.69916820679,1257.3797248589044,2226.0756614416314,263736.915530422,513.5532256060924
13,2021-01-23 17:50:00,2270.671467652795,2392.4987927936613,1858.590963517748,2915.5785470960795,14841.897150978371,121.82732514086638
14,2021-01-24 02:10:00,1451.1393365859992,1273.4473940822097,791.1033902220812,1765.6999996385312,31574.426430770036,177.6919425037895
15,2021-01-24 06:50:00,798.5724478363993,692.8524432766045,180.96335867375024,1234.9085622329003,11176.719364123055,105.72000455979492
16,2021-01-24 11:40:00,2249.215409088135,2347.787031792146,1806.5947560252869,2873.1518416733825,9716.364802501925,98.57162270401112
17,2021-01-24 12:20:00,2674.0494682312014,2540.972448234156,2047.2881889659077,3083.986679399712,17709.493251293974,133.07701999704523
18,2021-01-24 15:30:00,589.8509805578308,566.1822530200907,76.07424217140817,1133.9034810198746,560.2086632557764,23.668727537740097
19,2021-01-25 21:30:00,9147.042568969733,8378.865015547792,7822.880258962208,8930.02102086896,590096.7535813197,768.1775534219414
20,2021-01-25 23:00:00,11341.92133821187,11492.37291140301,11067.318694526532,11996.24235724441,22635.675875688314,150.45157319113787
21,2021-01-26 08:10:00,1928.6422420501713,2196.7383043220702,1657.6860004358125,2738.7091268958593,71875.49860569793,268.096062271899
22,2021-01-26 16:50:00,7888.884628295906,7611.144734694234,7083.962801687452,8189.839730740214,77139.44849786787,277.7398936016716
23,2021-01-26 18:20:00,7564.914533996588,7765.959906516524,7218.688098408638,8312.094248625945,40419.24181167979,201.04537251993588
24,2021-01-26 18:30:00,9506.906582641608,9381.611987281343,8856.00110743923,9873.409119714484,15698.735626492487,125.2945953602648
25,2021-01-27 06:50:00,3702.221904754639,3634.20549695536,3105.30468639738,4199.808818422721,4626.231729917824,68.01640779927902
26,2021-01-27 09:50:00,2316.8839492797856,2218.851749359896,1681.2651551334166,2759.701133536797,9610.31222113319,98.03219991988954
27,2021-01-28 02:10:00,1558.7060987472537,1584.8220166445117,999.2792401743257,2048.8649049437945,682.04116761632,26.115917897257987
28,2021-01-28 04:40:00,324.50549567341807,288.7183403810738,-190.6334509646184,776.0587934388367,1280.7204839183642,35.787155292344266
29,2021-01-28 07:40:00,8279.807947901681,7703.445203577704,7160.75307504732,8105.042927814416,332194.0130446667,576.3627443239775
30,2021-01-28 16:00:00,1621.8866481781013,1709.7444500045483,1196.7306665430683,2170.8063439292564,7718.993341775319,87.85780182644748
31,2021-01-28 18:00:00,1968.6967872619634,2030.6752229772785,1479.106524201347,2642.448668569595,3841.326493717415,61.978435715314845
32,2021-01-28 23:50:00,6091.515879821782,5886.253865305757,5437.713946357693,6382.556934130531,42132.49460317664,205.2620145160245
33,2021-01-29 02:40:00,12202.823382568371,11924.79995043004,11338.67835353493,12398.411456173337,77297.02881797786,278.0234321383323
34,2021-01-29 13:30:00,9339.521694946296,9602.738667904898,9104.377893597668,10035.556464229934,69283.17485348949,263.2169729586021
35,2021-01-29 14:30:00,4606.838662719729,4484.6823742000515,4011.283257324344,4930.524277062764,14922.158824902624,122.15628851967722
36,2021-01-29 18:10:00,1399.2735584259035,1550.2651421324526,1085.25758276812,1994.7312967295716,22798.458350211768,150.9915837065489
37,2021-01-29 19:40:00,1731.5945791244512,1747.403346374757,1252.4139866601463,2284.1676942042723,249.91712197432253,15.808767250305207
38,2021-01-29 20:00:00,1258.7050277709968,1430.2659411684008,946.3212729508772,2018.4040925147608,29433.147005751543,171.56091339740397
39,2021-01-29 23:00:00,1591.4800348281863,1640.9239155827663,1123.777087734478,2218.9197259799894,2444.6973440731763,49.443880754580505
40,2021-01-30 08:10:00,9001.32549743653,8949.570012276958,8378.830557582802,9392.472740736815,2678.6302441027133,51.755485159572345
41,2021-01-30 16:00:00,9694.77713012696,9305.120099251646,8786.488836948016,9779.668112383351,151832.6017105657,389.6570308753144
42,2021-01-30 19:00:00,8293.179228210454,7648.577721926915,7212.315085354974,8163.406276999371,415511.101903008,644.6015062835395
