,index,Wind.speed.me,Wind.dir.sin.me,Wind.dir.cos.me,Nacelle.ambient.temp.me,turbine,Power.me
0,80,2.9236559867858887,0.575560980304192,0.8177588629610061,16.75,1,35.962867736816406
1,161,3.1522581577301025,0.9678450084634128,0.2515472909662438,13.670000076293944,1,39.10447692871094
2,173,3.685706377029419,0.823302507906324,0.5676028369160582,12.97249984741211,1,59.687984466552734
3,403,6.423376560211182,0.2097939125062078,-0.9777456286147934,16.40999984741211,1,462.3431091308594
4,455,4.208030223846436,-0.3063910629102819,-0.9519057288243976,15.40999984741211,1,115.09603118896484
5,557,6.1475443840026855,-0.1574123609345013,-0.9875329607790448,14.3725004196167,1,400.34228515625
6,762,5.808228492736816,-0.4937437305938626,-0.8696074565568394,10.922499656677246,1,345.2431030273437
7,776,5.115053176879883,-0.7078857827943121,-0.7063269204254388,13.627500534057615,1,264.4667053222656
8,832,6.869390964508057,-0.077371581148571,-0.9970023261911528,14.600000381469728,1,613.89599609375
9,904,5.889284610748291,0.056769363078619,-0.9983873193383658,14.449999809265137,1,321.4310607910156
10,1021,9.774913787841797,-0.8102040786347973,-0.5861478917163647,14.570000648498535,1,1635.9114990234375
11,1049,7.70147180557251,-0.8986131313610354,-0.4387418832816335,13.199999809265137,1,1007.7465209960938
12,1092,12.606940269470217,-0.9950502572882232,-0.0993729614665913,15.015000343322754,1,2030.9066162109373
13,1101,7.759975910186768,-0.9999558012987666,0.0094018853929254,14.300000190734863,1,997.4826049804688
14,1141,7.546468734741211,-0.9788226423140036,-0.204710124061884,11.0,1,815.1891479492188
15,1159,7.736791610717773,-0.9952035550336072,0.0978257841699723,9.994999885559082,1,986.4624633789062
16,1169,7.998583316802978,-0.9442748346841928,0.3291580723332492,9.93333339691162,1,1073.959228515625
17,1189,6.999754428863525,-0.9979590627884664,-0.0638569416615418,9.984999656677246,1,601.1226806640625
18,1204,7.574865341186523,-0.9891252593053016,0.1470755635862727,11.855000495910645,1,789.3143310546875
19,1297,7.942129135131836,-0.9487593018392906,-0.3159996632489058,10.19499969482422,1,967.8180541992188
20,1359,9.573373794555664,-0.892674153200258,-0.4507026250291897,12.640000343322754,1,1431.0826416015625
21,1382,8.03071117401123,-0.8804977811272788,-0.4740502688849977,14.342499732971191,1,957.2291259765624
22,1442,13.928715705871582,-0.8842876488401955,-0.4669425597529947,13.317500114440918,1,2053.802734375
23,1465,12.67867374420166,-0.9541065505078734,-0.2994673442597151,15.399999618530272,1,2064.979736328125
24,1493,7.114635467529297,-0.8441275737713021,0.5361423684050486,12.322500228881836,1,711.0497436523438
25,1585,8.422359466552734,-0.9075915986620072,0.4198541294761101,9.994999885559082,1,1136.2242431640625
26,1635,3.990724563598633,-0.3644070116624054,0.9312397810721336,11.460000038146973,1,135.90435791015625
27,1713,7.333959579467773,-0.848469371261417,-0.5292444860659918,11.579999923706056,1,702.446533203125
28,1722,7.283073425292969,-0.7845774032480912,-0.6200308849666136,11.434999465942385,1,803.0277709960938
29,1885,5.698212146759033,-0.9678337529906288,0.251590593170878,11.732500076293944,1,316.2051086425781
30,1890,6.075904846191406,-0.9477384715693902,0.319048255765983,11.772500038146973,1,493.4364013671875
31,1907,4.5361504554748535,-0.7743073762429283,0.6328096768348223,11.71500015258789,1,161.68093872070312
32,1942,4.962615489959717,-0.8832871871857945,0.4688323207218198,15.537500381469728,1,193.0217742919922
33,1943,4.456047058105469,-0.816663073022649,0.5771147417638918,16.122501373291016,1,142.64559936523438
34,1962,5.312288761138916,-0.9323755274982158,0.361491183464305,15.907500267028809,1,272.14910888671875
35,2037,5.747081756591797,-0.8881486829551276,-0.4595562174153149,13.494999885559082,1,288.1326904296875
36,2040,4.634291172027588,-0.8112668808181845,-0.5846760197643935,13.19499969482422,1,146.40748596191406
